Wall time,Step,Value
1548733476.380654,4,0.10000000149011612
1548733476.557188,6,0.0
1548733477.277401,9,0.0
1548733478.9990022,13,0.0
1548733481.1700711,18,0.0
1548733482.06965,20,0.0
1548733482.91086,22,0.0
1548733484.1714208,25,0.0
1548733485.396311,28,0.0
1548733486.220648,30,0.0
1548733490.379749,39,0.0
1548733491.216736,41,0.0
1548733491.614173,42,0.0
1548733492.0528178,43,0.0
1548733493.716896,47,0.0
1548733495.725777,52,0.0
1548733496.603932,54,0.0
1548733497.019543,55,0.0
1548733497.855763,57,0.0
1548733498.2572632,58,0.0
1548733499.08899,60,0.0
1548733503.4476328,71,0.0
1548733508.0512378,82,0.0
1548733508.385178,83,0.0
1548733508.7354188,84,0.0
1548733510.1111958,88,0.0
1548733511.193187,91,0.0
1548733511.590639,92,0.0
1548733514.135413,96,0.0
1548733515.448603,99,0.0
1548733516.767165,102,0.0
1548733518.570097,106,0.0
1548733519.0056052,107,0.0
1548733519.4515588,108,0.0
1548733519.939183,109,0.0
1548733522.6901262,115,0.0
1548733523.859787,117,0.0
1548733529.931118,127,0.0
1548733531.9308438,130,0.0
1548733533.870917,133,0.0
1548733534.4892612,134,0.0
1548733535.3283641,136,0.0
1548733537.002101,140,0.0
1548733537.407568,141,0.0
1548733538.306787,143,0.0
1548733540.430324,148,0.0
1548733545.4766521,160,0.0
1548733545.913048,161,0.0
1548733546.312379,162,0.0
1548733548.373195,167,0.0
1548733549.990252,171,0.0
1548733551.766144,175,0.0
1548733552.240266,176,0.0
1548733554.672441,182,0.0
1548733556.093157,185,0.0
1548733556.587542,186,0.0
1548733557.0490649,187,0.0
1548733557.4656188,188,0.0
1548733557.8744252,189,0.0
1548733559.976921,194,0.0
1548733560.36229,195,0.0
1548733562.6921139,201,0.0
1548733563.11491,202,0.0
1548733564.695563,206,0.0
1548733565.591697,208,0.0
1548733566.9265962,211,0.0
1548733569.051143,216,0.0
1548733570.555763,220,0.0
1548733570.981674,221,0.0
1548733572.212289,223,0.0
1548733572.7450502,224,0.0
1548733573.2271318,225,0.0
1548733574.6044219,228,0.0
1548733575.557291,230,0.0
1548733578.4344552,236,0.0
1548733578.901561,237,0.0
1548733579.3198452,238,0.0
1548733579.850087,239,0.0
1548733581.2108428,242,0.0
1548733581.7132359,243,0.0
1548733582.989331,246,0.0
1548733583.799433,248,0.0
1548733589.162688,261,0.0
1548733590.032799,263,0.0
1548733590.798604,265,0.0
1548733594.746741,275,0.0
1548733595.147122,276,0.0
1548733595.9382458,278,0.0
1548733596.280184,279,0.0
1548733597.075047,281,0.0
1548733597.456047,282,0.0
1548733599.006297,286,0.0
1548733599.839433,288,0.0
1548733600.265301,289,0.0
1548733601.817587,293,0.0
1548733602.851708,296,0.0
1548733603.571991,298,0.0
1548733604.338788,300,0.0
1548733604.695482,301,0.0
1548733605.469677,303,0.0
1548733608.763903,311,0.0
1548733609.798475,313,0.0
1548733610.154426,314,0.0
1548733610.532151,315,0.0
1548733611.3136482,317,0.0
1548733612.483916,320,0.0
1548733615.918376,329,0.0
1548733616.677397,331,0.0
1548733617.036245,332,0.0
1548733618.214912,335,0.0
1548733618.6167989,336,0.0
1548733619.8431098,339,0.0
1548733620.310965,340,0.0
1548733620.748277,341,0.0
1548733621.1834009,342,0.0
1548733622.458312,345,0.0
1548733622.8825479,346,0.0
1548733623.707315,348,0.0
1548733624.1076171,349,0.0
1548733624.931669,351,0.0
1548733627.392561,357,0.0
1548733627.788875,358,0.0
1548733628.5837052,360,0.0
1548733628.9749792,361,0.0
1548733629.748523,363,0.0
1548733630.587649,365,0.0
1548733631.413274,367,0.0
1548733631.813005,368,0.0
1548733632.2277389,369,0.0
1548733632.660218,370,0.0
1548733633.463538,372,0.0
1548733635.138499,376,0.0
1548733636.7267892,380,0.0
1548733637.1221151,381,0.0
1548733637.911755,383,0.0
1548733638.3091788,384,0.0
1548733638.740148,385,0.0
1548733639.134612,386,0.0
1548733639.5247302,387,0.0
1548733644.006851,398,0.0
1548733645.207499,401,0.0
1548733645.599842,402,0.0
1548733646.018844,403,0.0
1548733646.8144739,405,0.0
1548733647.197991,406,0.0
1548733647.59394,407,0.0
1548733648.8446379,410,0.0
1548733649.640654,412,0.0
1548733651.2731378,416,0.0
1548733652.561148,419,0.0
1548733654.952769,425,0.0
1548733655.347774,426,0.0
1548733655.746064,427,0.0
1548733656.956645,430,0.0
1548733657.785141,432,0.0
1548733658.592268,434,0.0
1548733658.988516,435,0.0
1548733660.57041,439,0.0
1548733661.411819,441,0.0
1548733662.620399,444,0.0
1548733663.058989,445,0.0
1548733663.873981,447,0.0
1548733664.2822762,448,0.0
1548733666.355129,453,0.0
1548733667.5920699,456,0.0
1548733667.982134,457,0.0
1548733669.5855901,461,0.0
1548733671.609959,466,0.0
1548733672.030236,467,0.0
1548733672.4494479,468,0.0
1548733674.030079,472,0.0
1548733674.419689,473,0.0
1548733674.8012989,474,0.0
1548733676.457796,478,0.0
1548733676.8405042,479,0.0
1548733678.037743,482,0.0
1548733678.4734972,483,0.0
1548733678.86254,484,0.0
1548733680.148295,487,0.0
1548733680.552108,488,0.0
1548733680.957938,489,0.0
1548733682.970179,494,0.0
1548733684.215848,497,0.0
1548733685.440345,500,0.0
1548733685.91079,501,0.0
1548733687.08583,504,0.0
1548733687.4841018,505,0.0
1548733688.297914,507,0.0
1548733689.56279,510,0.0
1548733691.038719,513,0.0
1548733691.530828,514,0.0
1548733691.960764,515,0.0
1548733693.227596,518,0.0
1548733693.622512,519,0.0
1548733694.068465,520,0.0
1548733694.463111,521,0.0
1548733695.2473228,523,0.0
1548733696.587104,524,0.10000000149011612
1548733696.983176,525,0.0
1548733697.387869,526,0.0
1548733700.340653,531,0.0
1548733700.750635,532,0.0
1548733701.973444,535,0.0
1548733702.7773829,537,0.0
1548733703.958412,540,0.0
1548733704.8239172,542,0.0
1548733705.633354,544,0.0
1548733707.688916,549,0.0
1548733708.099065,550,0.0
1548733708.5121658,551,0.0
1548733708.955536,552,0.0
1548733709.359643,553,0.0
1548733709.769866,554,0.0
1548733712.1615942,560,0.0
1548733713.4730291,563,0.0
1548733713.880142,564,0.0
1548733715.068504,567,0.0
1548733717.1145651,572,0.0
1548733717.9288251,574,0.0
1548733719.186291,577,0.0
1548733719.580977,578,0.0
1548733721.261867,580,0.0
1548733721.640117,581,0.0
1548733724.075449,587,0.0
1548733724.866071,589,0.0
1548733727.418682,593,0.0
1548733729.359116,598,0.0
1548733731.378619,603,0.0
1548733732.621282,606,0.0
1548733733.4126909,608,0.0
1548733736.791679,612,0.10000000149011612
1548733738.011678,615,0.0
1548733738.3966348,616,0.0
1548733741.195764,623,0.0
1548733743.205278,628,0.0
1548733744.558549,629,0.10000000149011612
1548733748.518531,636,0.0
1548733750.124867,638,0.10000000149011612
1548733754.888803,644,0.0
1548733755.272599,645,0.0
1548733758.015404,650,0.0
1548733758.8682501,652,0.0
1548733761.7621498,655,0.10000000149011612
1548733762.1431549,656,0.0
1548733763.128649,658,0.0
1548733764.246165,660,0.0
1548733764.661258,661,0.0
1548733765.657027,663,0.0
1548733766.266881,664,0.0
1548733766.705801,665,0.0
1548733767.868653,667,0.0
1548733768.7461078,669,0.0
1548733769.658585,671,0.0
1548733770.040489,672,0.0
1548733774.4190679,680,0.0
1548733775.7914188,683,0.0
1548733776.691605,685,0.0
1548733777.154421,686,0.0
1548733779.200424,690,0.0
1548733779.6528718,691,0.0
1548733780.114123,692,0.0
1548733782.067636,696,0.0
1548733782.5125508,697,0.0
1548733784.392653,701,0.0
1548733786.3156302,705,0.0
1548733786.74787,706,0.0
1548733787.612742,708,0.0
1548733793.981503,715,0.10000000149011612
1548733795.25541,718,0.0
1548733797.0479639,722,0.0
1548733797.95051,724,0.0
1548733798.374877,725,0.0
1548733798.837686,726,0.0
1548733799.289272,727,0.0
1548733799.7875881,728,0.0
1548733803.057353,735,0.0
1548733804.3491368,738,0.0
1548733806.491595,741,0.0
1548733807.34895,743,0.0
1548733808.22112,745,0.0
1548733808.684226,746,0.0
1548733811.382236,752,0.0
1548733812.8372211,755,0.0
1548733813.7197728,757,0.0
1548733814.5593522,759,0.0
1548733815.423855,761,0.0
1548733816.314741,763,0.0
1548733818.502123,768,0.0
1548733818.94363,769,0.0
1548733819.7867022,771,0.0
1548733820.7238011,773,0.0
1548733823.098805,778,0.0
1548733825.325749,783,0.0
1548733829.6258,790,0.0
1548733830.086532,791,0.0
1548733831.484759,794,0.0
1548733833.9230819,799,0.0
1548733834.3985019,800,0.0
1548733838.9721951,810,0.0
1548733839.427673,811,0.0
1548733841.254244,815,0.0
1548733841.687005,816,0.0
1548733843.580534,820,0.0
1548733844.537707,822,0.0
1548733846.763983,827,0.0
1548733847.205836,828,0.0
1548733847.711335,829,0.0
1548733848.150014,830,0.0
1548733849.020742,832,0.0
1548733849.883418,834,0.0
1548733850.792227,836,0.0
1548733851.261342,837,0.0
1548733853.7682471,842,0.0
1548733856.1161962,847,0.0
1548733857.5683641,850,0.0
1548733858.078964,851,0.0
1548733861.144585,856,0.0
1548733861.632044,857,0.0
1548733862.6577432,859,0.0
1548733863.614295,861,0.0
1548733866.0252218,866,0.0
1548733866.489773,867,0.0
1548733867.019716,868,0.0
1548733867.962566,870,0.0
1548733868.9026911,872,0.0
1548733869.835757,874,0.0
1548733871.283689,877,0.0
1548733871.739188,878,0.0
1548733875.347949,884,0.0
1548733875.821899,885,0.0
1548733876.747017,887,0.0
1548733877.6587572,889,0.0
1548733878.583333,891,0.0
1548733879.050418,892,0.0
1548733881.4964638,896,0.0
1548733883.4473128,900,0.0
1548733883.9268491,901,0.0
1548733885.010113,902,0.10000000149011612
1548733886.083786,903,0.10000000149011612
1548733887.030049,905,0.0
1548733892.553876,914,0.0
1548733893.011478,915,0.0
1548733894.484567,918,0.0
1548733896.3590841,922,0.0
1548733897.9414778,924,0.10000000149011612
1548733901.4711711,930,0.0
1548733901.9483871,931,0.0
1548733902.963992,932,0.10000000149011612
1548733903.484239,933,0.0
1548733904.441935,935,0.0
1548733905.424952,937,0.0
1548733908.598784,941,0.10000000149011612
1548733910.669986,943,0.0
1548733913.7518148,946,0.0
1548733917.179337,948,0.10000000149011612
1548733922.00163,956,0.10000000149011612
1548733925.979548,963,0.0
1548733927.353216,966,0.0
1548733928.3827279,968,0.0
1548733929.783045,971,0.0
1548733931.712277,975,0.0
1548733932.762757,977,0.0
1548733933.3634381,978,0.0
1548733934.320487,980,0.0
1548733935.812716,983,0.0
1548733936.280332,984,0.0
1548733937.272366,985,0.10000000149011612
1548733940.1465118,991,0.0
1548733940.671206,992,0.0
1548733942.690239,995,0.10000000149011612
1548733943.166729,996,0.0
1548733947.6911879,1004,0.0
1548733948.68992,1005,0.10000000149011612
1548733949.158108,1006,0.0
1548733949.661382,1007,0.0
1548733950.605561,1009,0.0
1548733951.530417,1011,0.0
1548733952.0188348,1012,0.0
1548733952.4679081,1013,0.0
1548733958.5999072,1023,0.0
1548733960.01657,1026,0.0
1548733960.484716,1027,0.0
1548733964.499466,1033,0.0
1548733964.969823,1034,0.0
1548733967.486517,1037,0.10000000149011612
1548733968.00317,1038,0.0
1548733970.281616,1041,0.0
1548733970.7915561,1042,0.0
1548733971.865555,1044,0.0
1548733972.9173021,1046,0.0
1548733973.443619,1047,0.0
1548733975.825665,1052,0.0
1548733976.758237,1054,0.0
1548733977.2249448,1055,0.0
1548733977.745816,1056,0.0
1548733978.2115278,1057,0.0
1548733979.167514,1059,0.0
1548733980.280451,1061,0.0
1548733981.7628758,1063,0.10000000149011612
1548733982.269432,1064,0.0
1548733982.769954,1065,0.0
1548733983.311269,1066,0.0
1548733987.8467672,1072,0.0
1548733988.328976,1073,0.0
1548733988.810879,1074,0.0
1548733989.703572,1076,0.0
1548733996.977729,1086,0.0
1548733997.917414,1088,0.0
1548733999.3378801,1089,0.0
1548734000.32347,1091,0.0
1548734004.953534,1097,0.0
1548734006.96008,1100,0.0
1548734009.4844291,1104,0.0
1548734012.078657,1107,0.10000000149011612
1548734013.1771278,1109,0.0
1548734013.6427798,1110,0.0
1548734016.563426,1115,0.0
1548734017.156063,1116,0.0
1548734017.6388721,1117,0.0
1548734019.6654289,1120,0.0
1548734020.7010078,1122,0.0
1548734021.6772401,1124,0.0
1548734025.238326,1130,0.0
1548734026.274129,1132,0.0
1548734027.325523,1134,0.0
1548734028.852864,1137,0.0
1548734030.9581199,1140,0.0
1548734031.9961019,1142,0.0
1548734033.5157208,1144,0.10000000149011612
1548734033.9949481,1145,0.0
1548734034.951412,1147,0.0
1548734036.586831,1149,0.0
1548734038.597984,1152,0.0
1548734039.8633249,1153,0.10000000149011612
1548734040.905856,1155,0.0
1548734041.379253,1156,0.0
1548734041.9308748,1157,0.0
1548734044.562974,1161,0.0
1548734047.232831,1165,0.10000000149011612
1548734050.172905,1169,0.0
1548734051.3284879,1170,0.10000000149011612
1548734052.4170911,1172,0.0
1548734053.487443,1174,0.0
1548734054.5316951,1176,0.0
1548734055.038466,1177,0.0
1548734057.471473,1182,0.0
1548734059.053905,1184,0.0
1548734060.0335732,1185,0.10000000149011612
1548734066.327282,1195,0.0
1548734067.360991,1197,0.0
1548734069.292821,1201,0.0
1548734069.777996,1202,0.0
1548734070.764575,1203,0.10000000149011612
1548734071.717699,1205,0.0
1548734072.190856,1206,0.0
1548734074.353567,1210,0.0
1548734074.772204,1211,0.0
1548734076.36022,1213,0.10000000149011612
1548734079.053045,1216,0.10000000149011612
1548734083.248467,1222,0.0
1548734085.4036639,1225,0.0
1548734086.496979,1227,0.0
1548734089.9426079,1234,0.0
1548734091.9759989,1238,0.0
1548734093.5894148,1240,0.0
1548734094.613812,1242,0.0
1548734095.658011,1243,0.10000000149011612
1548734096.202833,1244,0.0
1548734098.826522,1248,0.0
1548734099.322835,1249,0.0
1548734099.782063,1250,0.0
1548734100.257351,1251,0.0
1548734103.1908631,1255,0.10000000149011612
1548734104.246652,1256,0.10000000149011612
1548734105.8616478,1258,0.0
1548734106.3331132,1259,0.0
1548734107.798605,1262,0.0
1548734108.262698,1263,0.0
1548734110.8072069,1267,0.0
1548734112.8149672,1270,0.10000000149011612
1548734114.856396,1273,0.10000000149011612
1548734116.328856,1276,0.0
1548734116.8067598,1277,0.0
1548734118.8165991,1280,0.09000000357627869
1548734119.2957819,1281,0.0
1548734119.7861829,1282,0.0
1548734124.134699,1288,0.0
1548734129.870431,1297,0.0
1548734133.9000762,1303,0.10000000149011612
1548734136.410332,1308,0.0
1548734137.9845529,1310,0.0
1548734138.4732008,1311,0.0
1548734140.071902,1313,0.10000000149011612
1548734141.200767,1314,0.10000000149011612
1548734142.262513,1315,0.09000000357627869
1548734143.902346,1317,0.10000000149011612
1548734144.936631,1318,0.10000000149011612
1548734149.513639,1322,0.0
1548734150.599013,1323,0.10000000149011612
1548734152.175425,1326,0.0
1548734153.19815,1328,0.0
1548734154.238184,1329,0.10000000149011612
1548734157.437435,1332,0.10000000149011612
1548734158.0053701,1333,0.0
1548734160.016704,1336,0.0
1548734161.072698,1337,0.10000000149011612
1548734163.146244,1340,0.0
1548734165.6768692,1343,0.10000000149011612
1548734166.913792,1345,0.0
1548734169.907212,1349,0.0
1548734170.941841,1350,0.10000000149011612
1548734171.918339,1352,0.0
1548734173.338319,1354,0.0
1548734173.814181,1355,0.0
